Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,119800,119800,113600,113600,110582.875,447735
2015-06-11,115000,117800,113200,113200,110193.5,1153350
2015-06-12,114800,120600,114600,120200,117007.5938,1236155
2015-06-15,121400,125600,121400,125400,122069.4766,1653685
2015-06-16,125600,126800,123200,125400,122069.4766,785550
2015-06-17,124200,127400,124000,126000,122653.5469,557845
2015-06-18,127600,127800,124400,124800,121485.4141,366810
2015-06-19,125000,127000,123000,126800,123432.2891,348910
2015-06-22,127600,128400,125000,126200,122848.2344,212155
2015-06-23,127000,128000,125800,128000,124600.4219,231035
2015-06-24,131400,131600,128800,129800,126352.625,471700
2015-06-25,130400,131200,128200,130600,127131.3828,509600
2015-06-26,131200,134200,130000,131600,128104.8125,673600
2015-06-29,130000,131200,128200,130200,126742,332635
2015-06-30,128800,129800,125400,126800,123432.2891,589955
2015-07-01,125600,126200,120600,125600,122264.1641,1159735
2015-07-02,125800,125800,122600,123000,119733.2188,683695
2015-07-03,124200,124800,121600,122600,119343.8438,417175
2015-07-06,121000,124200,121000,123200,119927.9063,361965
2015-07-07,125400,125400,122000,122600,119343.8438,408320
2015-07-08,123000,127600,121800,123800,120511.9688,675400
2015-07-09,122400,123000,118800,122000,118759.7734,473890
2015-07-10,123600,123600,120600,122400,119149.1563,282605
2015-07-13,122400,124200,121800,122800,119538.5313,202265
2015-07-14,123200,123800,122000,122800,119538.5313,217055
2015-07-15,122800,123000,121000,121000,117786.3438,287730
2015-07-16,121000,124800,121000,121400,118175.7188,505030
2015-07-17,123600,127600,122400,126400,123042.9219,1037680
2015-07-20,129400,131400,126800,127600,124211.0469,613040
2015-07-21,129800,130400,128200,129800,126352.625,322160
2015-07-22,128600,128800,125800,127000,123626.9922,445375
2015-07-23,126800,127000,123400,124400,121096.0391,370860
2015-07-24,124000,125400,122600,125000,121680.1016,386325
2015-07-27,125000,125000,121200,122200,118954.4766,365450
2015-07-28,121800,122600,120200,122000,118759.7734,420610
2015-07-29,121000,122000,120000,120400,117202.2734,542940
2015-07-30,114400,114400,102000,103600,100848.4609,3718640
2015-07-31,101600,104800,101000,104600,101821.9141,1377630
2015-08-03,104000,105000,103400,104000,101237.8438,625390
2015-08-04,104000,105400,103600,105200,102405.9766,538645
2015-08-05,106200,106200,103600,105000,102211.2891,575545
2015-08-06,105200,105400,103000,103200,100459.0938,840720
2015-08-07,103000,103800,100000,100200,97538.77344,1272735
2015-08-10,101400,103000,100600,102200,99485.65625,610825
2015-08-11,104200,106000,103200,104600,101821.9141,593535
2015-08-12,104400,106800,103400,105600,102795.3516,766330
2015-08-13,103200,105000,102400,103800,101043.1641,585205
2015-08-14,103800,103800,103800,103800,101043.1641,0
2015-08-17,102600,104000,102000,102000,99290.96094,381550
2015-08-18,102400,105000,102200,104400,101627.2188,470980
2015-08-19,103200,105400,103200,104800,102016.5938,640610
2015-08-20,107000,107600,103800,104200,101432.5391,501140
2015-08-21,105000,105200,101400,103200,100459.0938,487880
2015-08-24,101200,103000,99100,100000,97344.07813,620215
2015-08-25,99400,100400,96400,98300,95689.23438,958830
2015-08-26,98000,100600,96800,97800,95202.51563,1049370
2015-08-27,99100,100400,97300,97500,94910.47656,734575
2015-08-28,98300,99300,96100,97600,95007.82813,957350
2015-08-31,97500,99100,94200,99100,96467.97656,896950
2015-09-01,99100,100200,95000,95200,92671.57031,688555
2015-09-02,94100,94700,92400,93200,90724.67969,803095
2015-09-03,93200,96000,93200,94100,91600.78125,794535
2015-09-04,94100,96300,93300,93900,91406.09375,495045
2015-09-07,94600,95200,93200,94900,92379.53125,432215
2015-09-08,95100,95600,91600,92300,89848.58594,486730
2015-09-09,93400,100400,93400,100200,97538.77344,836235
2015-09-10,98000,100400,98000,100000,97344.07813,758425
2015-09-11,98600,99100,97100,97700,95105.17188,488830
2015-09-14,98000,98100,93600,95200,92671.57031,741250
2015-09-15,95000,95900,93600,94100,91600.78125,616850
2015-09-16,94400,96300,93700,96300,93742.34375,653565
2015-09-17,96800,103000,96700,102000,99290.96094,1131080
2015-09-18,103000,103600,99700,101800,99096.27344,497360
2015-09-21,101800,101800,99900,100000,97344.07813,248630
2015-09-22,101000,101600,98900,99200,96565.32813,394635
2015-09-23,98300,103600,97700,101000,98317.52344,991005
2015-09-24,102400,103200,100600,101200,98512.20313,565765
2015-09-25,101400,102400,99900,101600,98901.58594,221535
2015-09-30,103000,103000,100000,102600,99875.03125,652740
2015-10-01,103600,109200,102600,109200,106299.7422,1004490
2015-10-02,110000,110200,107000,110000,107078.4844,702940
2015-10-05,109800,112600,107400,108600,105715.6797,535860
2015-10-06,109000,111600,108400,111200,108246.6172,592725
2015-10-07,112200,112200,110000,111600,108635.9922,553755
2015-10-08,113400,113800,109400,112200,109220.0625,480720
2015-10-12,115200,116600,110000,114800,111751.0078,830990
2015-10-13,115600,115800,113600,115800,112724.4453,393985
2015-10-14,115400,115400,112200,112400,109414.75,398715
2015-10-15,112400,114600,112000,113800,110777.5625,329630
2015-10-16,114800,117400,114200,117400,114281.9531,482525
2015-10-19,117600,117600,114400,116800,113697.8906,436065
2015-10-20,115600,117000,114600,115600,112529.7578,382375
2015-10-21,116000,116000,114400,115000,111945.6953,408060
2015-10-22,113800,114400,109400,109400,106494.4297,621860
2015-10-23,110400,114800,110200,114200,111166.9453,604125
2015-10-26,114800,116800,109600,112400,109414.75,744500
2015-10-27,109400,112800,109400,112800,109804.1172,337275
2015-10-28,112200,115400,108400,115400,112335.0703,588410
2015-10-29,120000,123400,117600,118400,115255.3906,1183235
2015-10-30,118400,121400,115200,120000,116812.8906,955270
2015-11-02,120000,121400,119400,120600,117396.9688,518225
2015-11-03,121400,123800,120000,123800,120511.9688,584405
2015-11-04,125000,125600,123200,125200,121874.7969,653585
2015-11-05,124600,127000,123800,125800,122458.8594,371710
2015-11-06,124200,126200,124000,126000,122653.5469,238665
2015-11-09,126600,127200,124800,126800,123432.2891,346330
2015-11-10,126800,126800,121400,123600,120317.2813,559765
2015-11-11,124000,126000,122600,125000,121680.1016,362225
2015-11-12,124400,125600,123400,124000,120706.6641,256115
2015-11-13,122200,123200,119800,121200,117981.0234,397265
2015-11-16,118000,120400,117800,118400,115255.3906,551680
2015-11-17,119200,121600,119200,119800,116618.2188,362285
2015-11-18,119800,120800,118800,120000,116812.8906,200715
2015-11-19,120200,121800,118800,121800,118565.0938,293440
2015-11-20,123200,125800,122000,125400,122069.4766,362535
2015-11-23,125400,125800,123200,124800,121485.4141,288280
2015-11-24,125000,126600,123800,124200,120901.3516,310395
2015-11-25,124000,126600,123200,126000,122653.5469,301640
2015-11-26,126000,127000,124600,126600,123237.6094,275100
2015-11-27,125400,129400,125400,126400,123042.9219,319010
2015-11-30,126600,127200,124000,126200,122848.2344,685610
2015-12-01,127000,129800,126400,129400,125963.25,303350
2015-12-02,128800,130200,127200,127800,124405.7422,372870
2015-12-03,129600,129800,125400,126600,123237.6094,231955
2015-12-04,125600,126000,122600,125000,121680.1016,391040
2015-12-07,125400,126800,121600,121600,118370.4063,541765
2015-12-08,121800,124200,121800,122600,119343.8438,370255
2015-12-09,122000,124000,122000,122400,119149.1563,393300
2015-12-10,121200,124600,120800,123600,120317.2813,415635
2015-12-11,122600,128000,122600,128000,124600.4219,387800
2015-12-14,126800,128000,125600,126600,123237.6094,362325
2015-12-15,129200,129600,127000,128600,125184.4922,337025
2015-12-16,129800,130400,129000,129200,125768.5469,385485
2015-12-17,130800,131800,129200,130600,127131.3828,352730
2015-12-18,129800,130600,127200,128000,124600.4219,247935
2015-12-21,129000,130400,128400,129600,126157.9297,263945
2015-12-22,129200,130800,127400,130600,127131.3828,230755
2015-12-23,130600,130800,129000,130600,127131.3828,205850
2015-12-24,129800,130800,129200,129400,125963.25,164080
2015-12-28,129400,130000,127600,128200,124795.1172,237555
2015-12-29,129800,129800,126200,128400,126071.5313,253240
2015-12-30,128400,133600,127800,131600,129213.5078,321075
2016-01-04,130000,131600,126400,126400,124107.8047,466360
2016-01-05,126600,128400,126200,127400,125089.6719,347280
2016-01-06,129000,129000,124400,124600,122340.4453,478410
2016-01-07,125200,132000,125200,130400,128035.2656,626265
2016-01-08,130400,131800,128400,130400,128035.2656,319610
2016-01-11,129000,130200,125200,125600,123322.3125,443100
2016-01-12,127200,130800,126400,130000,127642.5156,390050
2016-01-13,131200,131400,128600,129800,127446.1563,461100
2016-01-14,128400,131800,128000,130200,127838.8984,429120
2016-01-15,132400,134600,131600,134000,131570,642075
2016-01-18,132600,137400,132600,137400,134908.3281,703005
2016-01-19,136600,136800,132800,134000,131570,722930
2016-01-20,134000,134600,130200,132800,130391.7344,476755
2016-01-21,131200,131400,126200,127800,125482.4219,675930
2016-01-22,130000,133600,128000,133600,131177.2344,456000
2016-01-25,133600,135400,131400,134600,132159.1094,306275
2016-01-26,135000,136200,134200,136000,133533.7031,280390
2016-01-27,137400,137400,133200,134800,132355.4844,332355
2016-01-28,128400,130000,124200,126200,123911.4375,1387830
2016-01-29,125400,126200,121000,125600,123322.3125,1347000
2016-02-01,124400,125800,121600,122600,120376.7188,722640
